District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio, Affordability ,Strike
REDONDO BEACH UNIFIED,California,9788,0.05,0.12,25.32,0.99,0.24,0
ESCONDIDO UNION HIGH,California,9578,0.13,0.11,22.39,0.914,0.28,0
ARCADIA UNIFIED,California,9525,0.14,0.07,25.62,1.243,0.21,0
LINCOLN UNIFIED,California,9438,0.15,0.13,23.37,1.035,0.17,0
CASTRO VALLEY UNIFIED,California,9358,0.1,0.09,24.25,0.993,0.34,0
WESTSIDE UNION ELEMENTARY,California,9302,0.07,0.12,27.13,1.089,0.26,0
CALEXICO UNIFIED,California,9252,0.66,0.1,23.59,0.973,0.13,0
MORGAN HILL UNIFIED,California,9137,0.15,0.13,23.13,1.05,0.39,0
SAN MATEO UNION HIGH,California,9104,0.11,0.1,20.43,0.988,0.35,0
EL MONTE UNION HIGH,California,9033,0.2,0.12,21.76,1.004,0.23,0
SALINAS CITY ELEMENTARY,California,9023,0.53,0.11,25.13,1.012,0.24,0
WESTERN PLACER UNIFIED,California,9020,0.07,0.11,20.06,0.988,0.17,0
REDWOOD CITY ELEMENTARY,California,8987,0.33,0.14,23.1,0.76,0.48,0
BRENTWOOD UNION ELEMENTARY,California,8917,0.1,0.14,24.89,0.98,0.33,0
SOUTH SAN FRANCISCO UNIFIED,California,8879,0.25,0.13,22.72,1.289,0.5,0
EAST WHITTIER CITY ELEMENTARY,California,8829,0.13,0.12,24.64,0.98,0.23,0
AZUSA UNIFIED,California,8782,0.27,0.14,22.85,1.019,0.24,0
EL RANCHO UNIFIED,California,8754,0.21,0.12,24.51,0.964,0.25,0
SAN LEANDRO UNIFIED,California,8638,0.29,0.14,23.74,1.258,0.31,0
DAVIS JOINT UNIFIED,California,8582,0.11,0.11,22.37,0.999,0.18,0
MORONGO UNIFIED,California,8466,0.05,0.15,23.66,1.025,0.18,0
SYLVAN UNION ELEMENTARY,California,8399,0.15,0.16,27.08,0.932,0.16,0
HUENEME ELEMENTARY,California,8379,0.48,0.12,24.3,1.074,0.22,0
LIBERTY UNION HIGH,California,8199,0.07,0.14,22.58,1.05,0.35,0
WASHINGTON UNIFIED,California,8083,0.19,0.11,22.4,0.954,0.18,0
NOVATO UNIFIED,California,7869,0.16,0.12,21.14,0.841,0.49,0
SANTA MARIA JOINT UNION HIGH,California,7858,0.24,0.1,23.96,1.079,0.27,0
CAMPBELL UNION HIGH,California,7810,0.08,0.12,22.61,1.011,0.36,0
SAN LUIS COASTAL UNIFIED,California,7718,0.12,0.12,22.54,1.069,0.23,0
SNOWLINE JOINT UNIFIED,California,7648,0.11,0.15,23.04,0.993,0.18,0
GLENDORA UNIFIED,California,7538,0.06,0.15,24.38,0.95,0.23,0
DELANO UNION ELEMENTARY,California,7387,0.48,0.1,23.71,0.993,0.14,0
BERRYESSA UNION ELEMENTARY,California,7296,0.34,0.11,24.17,0.93,0.35,0
HUNTINGTON BEACH CITY ELEMENTARY,California,7155,0.05,0.11,27.42,0.947,0.24,0
CLAREMONT UNIFIED,California,7066,0.06,0.11,24.97,1.017,0.24,0
MOUNTAIN VIEW ELEMENTARY,California,7052,0.58,0.12,23.99,0.999,0.21,0
JEFFERSON ELEMENTARY,California,7039,0.41,0.1,21.91,0.874,0.63,0
CULVER CITY UNIFIED,California,6856,0.11,0.09,23.38,0.967,0.24,0
PASO ROBLES JOINT UNIFIED,California,6814,0.19,0.13,24.88,0.969,0.24,0
